Storage_Temperature_C,Storage_Time_Days,pH,Titratable_Acidity_pct,Microbial_Load_log_CFU_mL,Sensory_Score,Shelf_Life_Status
5.0,6.92,6.447,0.201,3.4,7.87,Acceptable
6.98,1.07,6.609,0.147,2.84,9.54,Acceptable
2.65,13.41,6.218,0.248,3.98,5.64,Spoiled
2.3,11.06,6.336,0.23,3.68,7.01,Spoiled
5.99,12.42,6.224,0.234,4.24,5.91,Spoiled
3.54,11.97,6.283,0.234,3.77,6.99,Spoiled
7.01,9.2,6.321,0.219,3.88,6.27,Acceptable
6.42,2.49,6.55,0.154,2.71,8.57,Acceptable
7.09,14.72,6.157,0.273,5.24,5.34,Spoiled
6.09,6.76,6.45,0.187,3.69,6.63,Acceptable
9.87,10.61,6.209,0.254,4.59,6.23,Spoiled
8.06,9.03,6.3,0.219,4.04,6.47,Acceptable
4.24,11.62,6.27,0.222,4.69,6.7,Spoiled
8.54,4.58,6.371,0.188,3.04,8.34,Acceptable
9.75,13.09,6.172,0.278,5.08,4.7,Spoiled
3.7,7.69,6.449,0.194,3.33,7.61,Acceptable
4.59,3.52,6.596,0.146,2.85,8.32,Acceptable
9.29,6.75,6.344,0.21,3.4,7.23,Acceptable
8.93,2.09,6.562,0.177,2.61,8.15,Acceptable
3.45,14.2,6.273,0.249,4.71,6.27,Spoiled
7.61,12.07,6.2,0.249,4.72,5.4,Spoiled
5.27,6.45,6.476,0.187,3.69,7.7,Acceptable
2.85,5.03,6.514,0.162,2.6,8.5,Acceptable
7.02,10.04,6.352,0.24,3.94,6.72,Spoiled
3.22,14.69,6.236,0.244,4.38,5.95,Spoiled
3.9,5.95,6.446,0.176,3.01,8.61,Acceptable
3.0,5.18,6.537,0.171,2.9,7.49,Acceptable
6.54,8.54,6.321,0.221,3.67,6.31,Spoiled
9.6,13.06,6.151,0.254,4.85,5.59,Spoiled
7.27,12.92,6.259,0.245,4.73,6.05,Spoiled
9.31,5.11,6.418,0.189,3.7,7.24,Acceptable
3.6,8.9,6.357,0.205,3.91,7.24,Acceptable
3.36,11.57,6.318,0.232,3.69,6.48,Spoiled
2.25,11.89,6.33,0.242,3.98,6.83,Spoiled
7.13,14.47,6.121,0.267,5.13,6.54,Spoiled
2.81,7.07,6.453,0.184,3.23,7.32,Acceptable
4.79,1.02,6.665,0.139,1.95,8.97,Acceptable
8.95,5.49,6.456,0.182,3.54,7.0,Acceptable
8.96,6.11,6.476,0.207,3.87,6.7,Acceptable
7.65,7.47,6.357,0.22,3.43,7.5,Spoiled
2.24,2.51,6.625,0.148,2.16,9.58,Acceptable
4.62,4.72,6.516,0.169,3.03,8.25,Acceptable
6.18,4.11,6.527,0.178,2.73,7.38,Acceptable
7.07,8.08,6.393,0.207,4.16,6.82,Acceptable
7.55,0.02,6.669,0.15,2.43,8.74,Acceptable
7.38,8.31,6.452,0.192,3.69,7.64,Acceptable
8.02,6.19,6.404,0.206,3.27,7.03,Acceptable
4.55,4.58,6.552,0.179,2.9,9.18,Acceptable
5.46,11.71,6.275,0.24,4.71,5.97,Spoiled
6.43,6.44,6.429,0.202,3.46,7.73,Acceptable
2.36,7.99,6.464,0.187,3.13,8.12,Acceptable
6.14,3.63,6.544,0.17,2.83,8.29,Acceptable
6.56,6.93,6.417,0.204,3.89,7.46,Acceptable
4.12,12.64,6.239,0.236,4.4,5.99,Spoiled
8.03,2.21,6.488,0.166,2.83,8.0,Acceptable
9.49,2.6,6.582,0.187,3.09,7.66,Acceptable
9.92,1.49,6.556,0.152,3.05,8.74,Acceptable
2.63,14.92,6.218,0.246,4.51,5.91,Spoiled
8.41,2.43,6.463,0.192,3.27,7.91,Acceptable
7.73,7.75,6.475,0.213,4.05,7.69,Acceptable
2.2,6.11,6.571,0.166,2.63,8.13,Acceptable
7.42,11.73,6.245,0.242,4.71,6.73,Spoiled
2.86,10.79,6.285,0.217,4.12,6.68,Acceptable
6.48,0.66,6.695,0.145,2.09,9.4,Acceptable
5.21,4.97,6.469,0.167,2.93,7.94,Acceptable
3.86,12.84,6.223,0.238,4.31,6.8,Spoiled
2.53,2.13,6.668,0.142,2.07,8.82,Acceptable
3.02,0.63,6.658,0.119,2.15,9.7,Acceptable
6.95,12.9,6.213,0.258,4.77,5.75,Spoiled
6.98,14.26,6.157,0.262,5.21,5.01,Spoiled
9.1,6.42,6.368,0.202,3.84,7.01,Acceptable
6.77,12.43,6.257,0.258,4.28,5.78,Spoiled
6.74,2.79,6.472,0.172,3.19,8.82,Acceptable
3.18,3.58,6.585,0.16,2.68,8.59,Acceptable
8.54,5.47,6.396,0.183,3.81,7.1,Acceptable
3.05,6.14,6.497,0.188,3.06,7.62,Acceptable
7.2,12.06,6.199,0.244,4.53,6.06,Spoiled
8.64,12.5,6.191,0.257,4.89,5.42,Spoiled
2.24,2.25,6.716,0.147,2.35,7.77,Acceptable
5.62,6.34,6.472,0.18,3.67,7.34,Acceptable
9.32,10.32,6.257,0.24,4.33,5.6,Spoiled
5.0,13.3,6.238,0.223,4.49,6.68,Spoiled
5.5,3.88,6.561,0.153,2.5,7.95,Acceptable
4.16,10.94,6.286,0.226,4.05,6.54,Spoiled
5.84,1.15,6.619,0.149,2.34,9.4,Acceptable
2.33,5.94,6.465,0.186,2.57,8.1,Acceptable
2.45,9.54,6.426,0.203,4.07,6.75,Acceptable
4.55,8.13,6.406,0.206,3.29,6.83,Acceptable
2.93,11.22,6.352,0.216,3.9,6.29,Acceptable
6.96,7.76,6.33,0.205,4.22,6.72,Acceptable
3.75,3.33,6.617,0.149,2.59,8.38,Acceptable
6.77,12.07,6.216,0.257,4.65,5.47,Spoiled
5.63,12.54,6.185,0.25,4.25,5.57,Spoiled
5.14,3.02,6.568,0.162,2.84,8.99,Acceptable
5.36,11.98,6.26,0.252,4.39,6.0,Spoiled
3.25,9.37,6.405,0.215,3.25,7.66,Acceptable
2.42,14.16,6.249,0.248,4.21,5.76,Spoiled
3.4,8.37,6.426,0.188,3.63,7.06,Acceptable
8.66,14.33,6.061,0.27,5.15,5.99,Spoiled
2.13,13.17,6.377,0.223,4.01,5.56,Spoiled
6.92,6.82,6.432,0.209,3.71,6.94,Acceptable
4.68,6.17,6.457,0.185,3.28,7.83,Acceptable
6.83,1.98,6.636,0.155,3.18,7.8,Acceptable
9.46,3.29,6.462,0.169,3.26,7.16,Acceptable
4.91,14.89,6.163,0.276,4.65,5.45,Spoiled
8.18,1.23,6.592,0.165,2.94,9.34,Acceptable
9.37,2.28,6.514,0.162,3.08,7.9,Acceptable
5.32,10.03,6.259,0.219,3.93,7.38,Acceptable
7.78,7.59,6.412,0.204,4.12,7.28,Acceptable
8.04,9.76,6.27,0.233,4.58,5.59,Spoiled
9.77,13.91,6.042,0.265,5.12,5.07,Spoiled
8.52,10.77,6.319,0.231,4.54,5.76,Spoiled
9.77,5.38,6.471,0.201,3.92,6.99,Acceptable
4.12,10.38,6.426,0.215,3.69,7.11,Acceptable
5.11,8.54,6.346,0.201,3.79,6.97,Acceptable
2.73,2.23,6.666,0.137,2.42,10.0,Acceptable
7.9,7.95,6.283,0.217,3.9,7.11,Acceptable
2.68,0.18,6.749,0.128,2.06,9.39,Acceptable
6.72,5.8,6.491,0.189,3.34,7.5,Acceptable
3.84,4.42,6.556,0.16,2.67,9.01,Acceptable
3.39,10.29,6.393,0.211,3.83,7.34,Acceptable
5.48,14.55,6.181,0.246,4.71,5.42,Spoiled
3.1,3.89,6.639,0.163,2.41,8.06,Acceptable
4.33,10.19,6.369,0.225,3.83,6.81,Spoiled
6.98,13.17,6.183,0.261,4.74,6.12,Spoiled
8.51,3.74,6.496,0.166,3.02,8.53,Acceptable
7.8,2.14,6.559,0.176,2.56,7.78,Acceptable
6.79,5.12,6.423,0.176,3.49,7.08,Acceptable
8.97,14.21,6.099,0.269,5.15,4.75,Spoiled
8.95,5.43,6.434,0.205,3.61,8.05,Acceptable
7.72,1.82,6.59,0.159,2.78,8.51,Acceptable
3.25,5.98,6.513,0.177,3.17,8.84,Acceptable
3.72,10.83,6.335,0.221,4.18,6.84,Spoiled
7.37,10.62,6.328,0.226,4.53,6.36,Spoiled
8.46,12.58,6.138,0.251,4.5,5.55,Spoiled
5.52,7.88,6.433,0.21,3.16,7.23,Acceptable
3.83,7.85,6.455,0.199,3.11,6.91,Acceptable
9.32,11.54,6.199,0.248,4.56,5.14,Spoiled
6.15,5.99,6.438,0.194,3.36,7.07,Acceptable
3.42,2.37,6.644,0.157,2.21,8.56,Acceptable
3.02,7.32,6.479,0.181,3.05,7.39,Acceptable
2.68,10.18,6.392,0.215,3.39,7.49,Acceptable
9.54,12.34,6.174,0.262,4.51,4.66,Spoiled
3.05,8.7,6.407,0.204,3.54,7.48,Acceptable
9.84,0.98,6.545,0.144,2.72,7.94,Acceptable
4.62,5.77,6.464,0.183,3.26,7.99,Acceptable
5.7,7.23,6.433,0.182,3.51,8.07,Acceptable
9.76,12.16,6.158,0.258,5.47,6.29,Spoiled
8.76,8.86,6.34,0.239,3.72,6.56,Spoiled
8.69,1.23,6.589,0.156,2.69,8.32,Acceptable
4.99,11.77,6.256,0.222,4.3,6.01,Spoiled
4.0,5.73,6.521,0.173,3.3,8.07,Acceptable
8.38,10.56,6.293,0.241,4.39,6.21,Spoiled
6.89,7.75,6.356,0.219,3.88,7.14,Acceptable
2.65,0.07,6.709,0.127,1.67,9.73,Acceptable
2.46,11.91,6.294,0.209,4.02,7.23,Acceptable
6.49,14.19,6.17,0.263,5.06,5.36,Spoiled
9.17,4.31,6.467,0.172,3.49,6.96,Acceptable
5.18,2.14,6.641,0.156,2.71,9.14,Acceptable
2.96,3.52,6.577,0.154,2.36,9.3,Acceptable
7.44,14.61,6.164,0.281,5.0,5.62,Spoiled
3.29,9.12,6.409,0.205,3.58,7.06,Acceptable
5.14,14.95,6.191,0.246,4.87,6.34,Spoiled
4.79,10.9,6.251,0.232,4.09,6.72,Spoiled
9.88,7.61,6.307,0.23,4.1,7.4,Spoiled
6.77,11.91,6.262,0.234,4.5,5.51,Spoiled
5.42,9.61,6.375,0.213,4.0,7.09,Acceptable
3.13,10.01,6.385,0.211,3.62,6.52,Acceptable
8.21,3.06,6.537,0.178,2.76,7.94,Acceptable
4.07,11.58,6.328,0.225,4.17,5.76,Spoiled
8.55,5.63,6.484,0.191,3.55,7.33,Acceptable
7.54,0.92,6.607,0.154,2.58,9.16,Acceptable
2.23,9.86,6.368,0.206,3.85,7.63,Acceptable
6.34,5.43,6.467,0.181,3.15,7.45,Acceptable
8.8,1.71,6.535,0.158,2.74,8.37,Acceptable
8.38,14.26,6.117,0.272,5.4,6.41,Spoiled
9.89,9.31,6.314,0.241,4.47,7.4,Spoiled
4.6,2.05,6.605,0.153,2.32,9.19,Acceptable
2.32,5.38,6.534,0.176,2.6,8.4,Acceptable
2.66,9.7,6.393,0.207,3.88,7.68,Acceptable
5.49,14.46,6.235,0.261,4.81,5.49,Spoiled
4.85,9.77,6.34,0.207,3.85,7.64,Acceptable
8.94,9.85,6.304,0.231,4.6,4.57,Spoiled
7.71,2.43,6.557,0.156,2.68,8.36,Acceptable
2.96,0.21,6.747,0.131,1.89,9.65,Acceptable
7.65,0.56,6.563,0.153,2.5,9.28,Acceptable
6.86,8.29,6.363,0.213,3.56,6.34,Acceptable
9.31,14.33,6.152,0.275,5.31,5.02,Spoiled
2.53,1.45,6.683,0.143,2.12,9.11,Acceptable
5.67,2.66,6.594,0.166,2.85,8.08,Acceptable
4.96,14.51,6.127,0.268,4.86,5.0,Spoiled
7.86,0.38,6.641,0.159,2.57,9.01,Acceptable
2.46,8.7,6.41,0.187,3.06,7.52,Acceptable
2.63,11.47,6.292,0.226,3.71,6.66,Spoiled
6.06,9.77,6.336,0.238,4.04,6.36,Spoiled
2.94,8.12,6.413,0.178,3.62,7.52,Acceptable
8.1,0.17,6.637,0.15,2.52,8.91,Acceptable
3.9,14.92,6.165,0.251,4.81,5.16,Spoiled
3.98,13.89,6.25,0.25,4.55,5.61,Spoiled
6.11,4.61,6.454,0.18,2.63,7.75,Acceptable
2.39,10.52,6.298,0.211,3.74,7.32,Acceptable
9.55,12.07,6.119,0.25,4.8,6.89,Spoiled
9.27,4.15,6.475,0.163,3.15,7.61,Acceptable
4.15,2.81,6.559,0.162,2.61,8.93,Acceptable
5.62,0.77,6.662,0.145,2.51,8.79,Acceptable
4.77,12.32,6.204,0.243,4.28,6.08,Spoiled
6.95,14.76,6.162,0.274,5.1,5.19,Spoiled
6.76,0.15,6.66,0.139,2.29,9.58,Acceptable
9.49,14.39,6.076,0.272,5.0,4.13,Spoiled
8.28,3.85,6.539,0.189,3.36,7.6,Acceptable
8.84,1.92,6.562,0.184,3.18,7.52,Acceptable
5.17,3.07,6.565,0.171,2.82,8.11,Acceptable
6.16,8.25,6.337,0.214,3.89,6.58,Acceptable
5.28,1.01,6.621,0.143,2.21,9.2,Acceptable
7.01,9.69,6.353,0.229,4.23,5.93,Spoiled
9.37,3.18,6.539,0.176,3.22,8.17,Acceptable
5.61,1.71,6.658,0.153,2.52,9.27,Acceptable
3.79,6.9,6.471,0.19,3.37,7.82,Acceptable
8.46,6.98,6.413,0.204,4.09,6.66,Acceptable
9.57,10.94,6.242,0.246,4.91,5.37,Spoiled
3.53,1.81,6.622,0.142,2.58,9.04,Acceptable
2.04,11.05,6.34,0.213,3.94,7.06,Acceptable
3.31,4.97,6.568,0.184,3.15,8.35,Acceptable
9.51,10.56,6.187,0.237,4.68,5.55,Spoiled
7.3,7.25,6.336,0.213,3.86,6.97,Acceptable
5.64,6.72,6.449,0.182,3.85,7.0,Acceptable
8.74,0.78,6.567,0.157,2.53,7.91,Acceptable
8.89,5.15,6.406,0.199,3.46,7.44,Acceptable
8.07,4.14,6.469,0.19,3.43,8.92,Acceptable
5.84,8.2,6.446,0.213,3.57,7.0,Acceptable
6.61,7.69,6.282,0.206,3.54,7.16,Acceptable
6.44,14.58,6.162,0.265,4.62,4.99,Spoiled
5.96,11.42,6.288,0.235,4.01,6.1,Spoiled
2.71,10.44,6.411,0.216,3.89,7.41,Acceptable
5.0,8.82,6.402,0.217,3.84,7.78,Acceptable
2.18,1.88,6.679,0.141,2.2,9.14,Acceptable
9.89,2.49,6.534,0.175,3.45,7.74,Acceptable
5.55,10.72,6.289,0.22,3.99,7.49,Acceptable
3.97,8.83,6.409,0.216,3.61,7.1,Acceptable
5.11,5.3,6.523,0.168,2.98,7.07,Acceptable
3.43,8.73,6.411,0.21,3.7,6.56,Acceptable
8.09,1.93,6.514,0.158,2.67,9.13,Acceptable
3.97,9.51,6.314,0.207,4.14,7.84,Acceptable
9.92,13.77,6.081,0.268,5.49,5.23,Spoiled
4.71,5.51,6.579,0.187,3.0,8.38,Acceptable
9.12,0.58,6.598,0.153,2.57,8.75,Acceptable
6.88,6.71,6.342,0.203,3.47,7.63,Acceptable
6.6,10.93,6.325,0.224,4.66,6.83,Spoiled
3.2,9.96,6.409,0.213,3.62,6.79,Acceptable
3.0,7.4,6.443,0.184,2.96,7.43,Acceptable
9.01,10.54,6.214,0.217,4.33,6.78,Spoiled
9.4,9.61,6.286,0.224,4.64,6.53,Spoiled
5.17,0.78,6.695,0.137,2.47,8.8,Acceptable
4.32,13.2,6.235,0.238,4.41,6.5,Spoiled
2.28,8.51,6.381,0.189,3.35,6.97,Acceptable
7.54,12.81,6.191,0.26,5.16,5.14,Spoiled
6.85,6.59,6.388,0.189,3.52,7.51,Acceptable
8.42,13.61,6.111,0.269,4.8,5.69,Spoiled
9.52,12.29,6.152,0.27,4.98,5.76,Spoiled
4.87,10.84,6.442,0.215,4.26,5.73,Acceptable
5.97,10.56,6.204,0.235,3.73,6.27,Spoiled
9.05,12.76,6.161,0.263,5.0,6.17,Spoiled
5.26,8.43,6.378,0.205,3.37,7.54,Acceptable
6.72,10.32,6.281,0.218,4.47,7.05,Acceptable
9.02,12.34,6.146,0.232,4.87,5.17,Spoiled
7.62,2.29,6.553,0.16,2.93,9.45,Acceptable
8.94,6.87,6.358,0.201,3.76,8.04,Acceptable
8.9,3.48,6.51,0.185,3.08,7.67,Acceptable
3.31,5.22,6.453,0.169,2.82,7.6,Acceptable
3.99,7.79,6.48,0.191,3.68,6.71,Acceptable
6.85,8.42,6.279,0.22,4.0,6.99,Acceptable
8.54,2.44,6.544,0.169,2.44,8.34,Acceptable
7.04,2.79,6.488,0.171,2.82,9.78,Acceptable
8.68,12.77,6.18,0.253,4.56,5.73,Spoiled
9.71,11.4,6.24,0.249,4.76,5.38,Spoiled
4.58,2.78,6.623,0.152,2.56,8.43,Acceptable
9.89,6.6,6.383,0.201,4.51,6.68,Acceptable
5.07,0.95,6.684,0.14,2.07,8.5,Acceptable
2.37,12.18,6.315,0.223,3.88,6.54,Spoiled
5.42,1.19,6.625,0.149,2.74,9.5,Acceptable
8.31,6.52,6.329,0.196,3.55,7.26,Acceptable
8.53,2.78,6.564,0.179,2.73,8.63,Acceptable
9.32,6.84,6.323,0.203,3.95,6.84,Acceptable
7.21,11.43,6.287,0.239,4.54,5.68,Spoiled
4.51,3.4,6.569,0.178,3.01,7.96,Acceptable
2.67,10.15,6.352,0.205,3.64,7.6,Acceptable
7.65,3.25,6.467,0.17,2.99,7.33,Acceptable
4.06,5.89,6.512,0.175,3.16,8.27,Acceptable
7.24,5.66,6.418,0.179,3.04,7.69,Acceptable
6.74,2.63,6.56,0.164,2.74,8.69,Acceptable
6.33,5.3,6.491,0.185,3.21,7.47,Acceptable
4.48,9.46,6.354,0.212,3.52,6.19,Acceptable
9.55,6.87,6.366,0.198,3.81,6.67,Acceptable
6.18,12.78,6.174,0.254,4.59,6.48,Spoiled
8.0,10.9,6.301,0.25,4.32,5.72,Spoiled
7.78,13.3,6.145,0.256,4.7,4.57,Spoiled
7.01,11.72,6.276,0.239,4.74,7.23,Spoiled
7.62,7.14,6.388,0.19,3.65,7.04,Acceptable
9.81,11.62,6.219,0.25,4.63,4.78,Spoiled
3.49,9.93,6.363,0.197,3.78,6.95,Acceptable
5.61,7.77,6.373,0.211,3.86,7.36,Acceptable
6.2,12.84,6.252,0.264,4.52,6.05,Spoiled
8.82,2.06,6.524,0.167,3.04,7.78,Acceptable
6.1,7.8,6.445,0.199,3.84,7.42,Acceptable
9.6,9.72,6.298,0.234,4.33,5.58,Spoiled
3.59,2.52,6.66,0.152,2.17,8.69,Acceptable
8.17,10.87,6.227,0.236,4.61,5.32,Spoiled
9.97,5.43,6.337,0.21,3.6,6.72,Acceptable
9.59,4.09,6.455,0.18,3.74,7.68,Acceptable
2.46,9.44,6.38,0.206,3.46,6.61,Acceptable
5.01,4.92,6.497,0.168,3.11,7.82,Acceptable
9.58,7.76,6.298,0.206,4.04,6.59,Acceptable
8.77,5.77,6.391,0.212,3.64,7.2,Acceptable
8.64,12.44,6.242,0.261,4.63,5.48,Spoiled
7.22,5.57,6.482,0.184,3.26,8.9,Acceptable
8.09,9.34,6.344,0.225,3.8,6.57,Spoiled
3.66,5.11,6.548,0.181,2.77,8.27,Acceptable
7.57,12.51,6.178,0.247,4.93,5.97,Spoiled
2.59,9.63,6.386,0.21,3.56,6.67,Acceptable
4.49,14.82,6.181,0.258,4.86,5.93,Spoiled
5.99,1.72,6.577,0.144,2.54,9.33,Acceptable
4.65,8.92,6.375,0.215,3.7,7.22,Acceptable
5.75,6.32,6.418,0.197,3.28,8.31,Acceptable
8.11,0.46,6.618,0.159,2.77,9.25,Acceptable
2.9,4.19,6.58,0.15,2.84,9.07,Acceptable
7.83,6.94,6.437,0.189,3.69,7.33,Acceptable
3.48,1.13,6.656,0.132,2.2,9.13,Acceptable
2.58,4.05,6.557,0.155,2.54,9.18,Acceptable
2.89,1.56,6.648,0.135,2.12,8.96,Acceptable
2.96,7.07,6.438,0.193,3.32,7.35,Acceptable
3.04,4.7,6.545,0.178,2.6,8.97,Acceptable
9.14,9.09,6.295,0.23,3.81,6.53,Spoiled
6.97,6.96,6.365,0.195,3.57,7.76,Acceptable
4.56,11.19,6.296,0.229,4.04,6.83,Spoiled
6.33,14.4,6.125,0.258,4.94,4.72,Spoiled
6.21,4.33,6.54,0.168,3.25,9.32,Acceptable
4.93,14.51,6.162,0.253,4.49,5.74,Spoiled
9.26,1.04,6.593,0.155,3.01,8.19,Acceptable
7.52,14.75,6.082,0.275,5.49,4.55,Spoiled
9.45,10.42,6.255,0.249,4.5,6.44,Spoiled
8.16,11.83,6.178,0.245,4.79,5.54,Spoiled
8.99,0.86,6.54,0.141,2.69,8.78,Acceptable
8.68,12.4,6.183,0.256,4.83,6.1,Spoiled
8.63,11.71,6.168,0.256,4.51,5.53,Spoiled
4.7,13.53,6.23,0.248,4.69,5.77,Spoiled
7.76,9.51,6.302,0.235,4.0,5.82,Spoiled
6.16,9.82,6.323,0.227,3.73,7.27,Spoiled
7.16,5.52,6.422,0.199,3.61,7.72,Acceptable
4.94,1.52,6.628,0.145,2.31,9.6,Acceptable
2.3,11.33,6.363,0.22,3.58,6.63,Acceptable
6.94,6.38,6.474,0.203,3.4,9.02,Acceptable
7.46,12.61,6.248,0.26,4.56,7.15,Spoiled
9.87,3.7,6.436,0.188,3.42,8.0,Acceptable
9.14,8.37,6.339,0.238,4.06,6.65,Spoiled
8.66,2.05,6.517,0.149,3.27,8.11,Acceptable
4.36,8.03,6.347,0.188,3.45,7.29,Acceptable
8.95,11.39,6.213,0.257,4.6,6.28,Spoiled
9.4,4.49,6.496,0.18,3.68,8.98,Acceptable
7.66,11.47,6.247,0.241,4.45,6.43,Spoiled
2.67,6.51,6.507,0.174,2.88,8.52,Acceptable
2.16,13.75,6.214,0.231,4.22,5.95,Spoiled
4.04,4.38,6.504,0.163,3.32,8.02,Acceptable
6.45,12.02,6.229,0.244,4.5,5.86,Spoiled
4.77,7.85,6.405,0.205,3.2,7.74,Acceptable
8.45,14.88,6.129,0.274,5.23,4.56,Spoiled
3.34,10.24,6.309,0.224,3.71,8.01,Spoiled
8.07,7.82,6.335,0.219,3.89,6.47,Acceptable
2.23,6.18,6.476,0.172,2.32,8.48,Acceptable
4.81,2.95,6.595,0.164,2.37,8.97,Acceptable
7.06,6.28,6.489,0.192,3.75,7.42,Acceptable
2.94,1.78,6.653,0.141,2.41,9.06,Acceptable
7.93,3.63,6.559,0.172,3.22,8.78,Acceptable
5.13,12.83,6.202,0.248,4.27,5.16,Spoiled
4.28,1.34,6.604,0.126,2.36,8.92,Acceptable
6.29,3.7,6.558,0.171,2.85,8.36,Acceptable
8.24,4.26,6.461,0.18,2.83,8.34,Acceptable
5.02,3.59,6.561,0.156,2.76,8.57,Acceptable
7.25,1.04,6.633,0.154,2.7,9.37,Acceptable
8.52,0.72,6.598,0.146,2.74,9.12,Acceptable
3.03,3.76,6.599,0.163,2.49,9.08,Acceptable
5.09,6.04,6.49,0.184,3.22,7.32,Acceptable
7.54,7.71,6.361,0.21,4.12,7.95,Acceptable
6.65,12.97,6.187,0.25,4.96,5.31,Spoiled
4.19,8.31,6.455,0.199,3.47,7.38,Acceptable
2.17,0.99,6.684,0.136,1.67,9.35,Acceptable
9.16,11.34,6.241,0.252,4.64,5.74,Spoiled
2.1,9.69,6.403,0.198,3.18,7.56,Acceptable
3.82,8.29,6.447,0.186,3.84,8.55,Acceptable
8.93,8.0,6.336,0.222,3.85,6.67,Spoiled
6.2,4.43,6.564,0.18,2.96,8.01,Acceptable
3.29,1.89,6.547,0.146,2.29,9.07,Acceptable
8.61,7.08,6.412,0.221,4.14,6.96,Spoiled
6.69,6.91,6.411,0.177,3.63,8.06,Acceptable
4.77,0.68,6.715,0.146,2.22,9.63,Acceptable
9.02,8.9,6.309,0.235,4.14,6.17,Spoiled
3.98,4.39,6.537,0.165,2.69,8.09,Acceptable
4.81,14.33,6.095,0.262,4.94,5.6,Spoiled
8.8,6.49,6.38,0.211,3.73,7.97,Acceptable
9.02,4.06,6.472,0.194,3.24,7.68,Acceptable
6.56,1.65,6.628,0.153,2.78,7.76,Acceptable
6.32,4.31,6.466,0.166,3.11,8.07,Acceptable
2.76,7.59,6.42,0.189,3.06,7.62,Acceptable
9.42,4.76,6.416,0.2,3.38,6.98,Acceptable
2.18,13.5,6.308,0.244,4.23,6.46,Spoiled
5.98,7.81,6.374,0.189,3.57,7.66,Acceptable
5.75,3.9,6.5,0.175,2.72,9.21,Acceptable
5.84,14.26,6.135,0.26,4.87,5.66,Spoiled
8.79,6.59,6.309,0.213,3.45,6.8,Acceptable
9.65,13.38,6.127,0.266,5.02,5.54,Spoiled
3.19,2.72,6.593,0.155,2.16,8.8,Acceptable
2.68,0.88,6.714,0.136,1.67,8.21,Acceptable
10.0,8.48,6.221,0.227,4.52,6.71,Spoiled
2.2,14.64,6.165,0.25,4.65,5.35,Spoiled
9.78,7.64,6.38,0.215,3.94,7.15,Acceptable
4.72,11.11,6.27,0.221,4.08,7.03,Spoiled
9.14,12.21,6.19,0.251,4.54,5.89,Spoiled
5.99,3.14,6.532,0.165,2.89,8.62,Acceptable
7.47,13.99,6.112,0.265,5.18,5.84,Spoiled
7.22,11.71,6.2,0.235,4.37,5.7,Spoiled
2.93,8.2,6.421,0.197,2.99,7.04,Acceptable
2.41,11.73,6.346,0.237,3.48,6.64,Spoiled
8.96,14.89,6.049,0.282,5.59,5.34,Spoiled
6.66,4.67,6.526,0.177,3.22,7.67,Acceptable
3.33,7.33,6.517,0.201,3.23,8.44,Acceptable
9.17,1.04,6.554,0.168,2.89,7.93,Acceptable
8.02,6.25,6.361,0.189,3.56,7.65,Acceptable
5.23,10.04,6.353,0.227,3.88,7.48,Spoiled
4.73,3.27,6.547,0.171,2.41,9.66,Acceptable
4.7,11.93,6.243,0.225,4.24,5.99,Spoiled
7.57,10.6,6.265,0.234,4.2,6.31,Spoiled
5.19,4.64,6.543,0.166,2.71,8.06,Acceptable
9.24,4.9,6.394,0.192,3.41,7.33,Acceptable
3.57,1.98,6.618,0.148,2.41,8.62,Acceptable
8.58,11.65,6.202,0.245,4.54,5.75,Spoiled
4.73,12.53,6.313,0.249,4.44,6.8,Spoiled
7.48,4.08,6.537,0.182,2.88,8.64,Acceptable
5.11,10.78,6.269,0.223,3.96,6.61,Spoiled
2.36,2.96,6.58,0.136,2.19,8.97,Acceptable
4.26,0.14,6.679,0.144,2.17,9.41,Acceptable
5.0,7.79,6.447,0.196,3.64,6.86,Acceptable
5.11,11.65,6.244,0.231,4.25,7.38,Spoiled
7.34,13.35,6.166,0.27,4.68,5.73,Spoiled
7.9,9.55,6.33,0.234,4.5,6.2,Spoiled
9.49,9.95,6.254,0.23,4.53,6.11,Spoiled
9.94,14.11,6.159,0.282,4.92,5.34,Spoiled
6.95,0.75,6.642,0.152,2.17,8.89,Acceptable
3.57,6.17,6.521,0.169,3.29,7.83,Acceptable
3.94,10.97,6.32,0.218,3.98,6.85,Acceptable
6.44,7.21,6.364,0.203,3.53,5.88,Acceptable
8.39,14.22,6.12,0.265,5.19,4.66,Spoiled
9.77,13.41,6.162,0.281,5.22,4.49,Spoiled
6.1,13.02,6.219,0.234,4.75,5.56,Spoiled
8.22,1.33,6.584,0.155,2.8,8.4,Acceptable
5.42,10.35,6.337,0.225,4.36,6.63,Spoiled
6.33,7.74,6.35,0.205,3.51,7.25,Acceptable
8.5,2.97,6.437,0.175,2.59,8.63,Acceptable
5.78,1.0,6.662,0.142,2.42,9.08,Acceptable
5.29,14.44,6.153,0.26,5.23,5.93,Spoiled
2.96,10.39,6.416,0.217,3.62,6.74,Acceptable
5.98,12.41,6.181,0.242,4.28,6.65,Spoiled
2.91,14.63,6.175,0.239,4.35,5.55,Spoiled
3.25,4.13,6.534,0.137,2.59,7.94,Acceptable
2.3,10.15,6.451,0.217,4.03,6.49,Acceptable
6.67,14.57,6.175,0.269,5.16,4.82,Spoiled
